-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1982 through 12/31/2022 
Location: Latitude  22.2604   Longitude 84.8536 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 395.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2MDEW,PRECTOTCORR,PS,WS10M,T2M_MAX,T2M_MIN
1982,1,1,5.73,0.0,97.07,2.85,25.39,9.76
1982,1,2,5.43,0.0,96.91,2.49,26.4,9.3
1982,1,3,5.94,0.0,96.85,2.27,27.38,11.16
1982,1,4,6.79,0.0,96.93,1.44,28.37,11.58
1982,1,5,8.9,0.0,96.96,1.62,28.14,13.01
1982,1,6,9.69,5.1,97.05,1.98,24.18,14.91
1982,1,7,13.23,0.72,97.11,1.88,27.65,15.08
1982,1,8,12.38,0.0,97.16,1.81,28.4,13.95
1982,1,9,12.48,0.0,96.97,1.59,28.7,13.02
1982,1,10,12.81,1.7,96.78,2.2,28.23,14.86
1982,1,11,14.08,1.78,96.83,2.27,25.21,13.52
1982,1,12,12.65,0.0,96.94,1.8,26.06,14.89
1982,1,13,11.34,0.06,96.99,1.79,26.65,12.72
1982,1,14,12.74,0.11,96.99,2.05,26.93,13.31
1982,1,15,11.35,0.03,96.92,2.39,28.23,12.99
1982,1,16,12.33,1.32,96.93,2.4,28.42,14.79
1982,1,17,7.56,0.0,96.93,3.15,27.9,11.65
1982,1,18,5.96,0.0,97.02,2.52,28.27,10.76
1982,1,19,5.8,0.0,96.98,2.62,29.08,11.04
1982,1,20,8.05,0.0,96.91,2.48,29.06,11.85
1982,1,21,7.55,0.0,97.02,2.43,29.15,12.69
1982,1,22,10.62,0.01,96.9,1.76,29.56,14.36
